Date;USDMXN;USDJPY;GBPUSD;EURUSD;USDCHF;USDCAD
2003.12.02;-0,00600;-0,00404;0,00679;0,01031;-0,00843;-0,00584
2003.12.03;-0,00399;-0,00396;-0,00128;0,00281;-0,00155;0,00270
2003.12.04;-0,00508;-0,00028;-0,00429;-0,00347;0,00256;0,00865
2003.12.05;0,00080;-0,00602;0,00718;0,00874;-0,01257;-0,00650
2003.12.08;0,00045;-0,00195;0,00064;0,00271;-0,00394;-0,00462
2003.12.09;-0,00358;-0,00298;0,00644;0,00245;-0,00332;0,00753
2003.12.10;0,00402;0,01197;-0,00322;-0,00483;0,00458;0,00199
2003.12.11;-0,00878;-0,00370;0,00368;0,00271;-0,00008;0,00533
2003.12.12;0,01394;-0,00278;0,00063;0,00448;-0,00553;-0,00213
2003.12.15;0,00218;0,00056;0,00000;0,00333;-0,00111;0,00000
2003.12.16;-0,00449;-0,00214;0,00394;0,00016;-0,00087;0,00970
2003.12.17;-0,00276;-0,00121;0,00642;0,00648;-0,00446;0,00023
2003.12.18;0,00179;0,00251;0,00311;0,00169;-0,00304;0,00406
2003.12.19;-0,00072;0,00056;-0,00329;-0,00306;0,00383;0,00442
2003.12.22;0,00445;-0,00204;-0,00051;0,00113;0,00215;-0,00570
2003.12.23;-0,00213;-0,00056;-0,00005;0,00009;-0,00064;-0,00686
2003.12.24;0,00009;-0,00158;0,00644;0,00426;-0,00711;-0,01081
2003.12.25;0,00000;-0,00019;-0,00011;-0,00040;-0,00008;0,00176
2003.12.26;-0,00490;0,00196;-0,00192;-0,00129;0,00575;0,00031
2003.12.29;0,00179;-0,00373;0,00140;0,00417;-0,00423;-0,00053
2003.12.30;-0,00116;-0,00084;0,00197;0,00519;-0,00562;-0,01137
2003.12.31;-0,00071;0,00411;0,00606;0,00327;-0,00484;0,00232
2004.01.01;0,00000;-0,00093;-0,00202;-0,00064;0,00299;-0,00093
2004.01.02;-0,01205;-0,00364;0,00474;0,00000;-0,00024;-0,00270
2004.01.05;-0,00681;-0,00629;0,00751;0,00831;-0,00647;-0,00878
2004.01.06;-0,00841;-0,00009;0,00777;0,00268;-0,00008;0,00421
2004.01.07;0,00202;-0,00047;-0,00193;-0,00631;0,00615;0,00225
2004.01.08;-0,00561;-0,00009;0,00882;0,01055;-0,01046;-0,00841
2004.01.09;-0,00517;0,00385;0,00771;0,00655;-0,00441;-0,00392
2004.01.12;0,00102;0,00019;-0,00135;-0,00922;0,00531;0,00188
2004.01.13;0,00259;-0,00338;0,00174;0,00352;-0,00670;-0,00400
2004.01.14;-0,00194;0,00000;-0,00929;-0,01061;0,01020;0,01445
2004.01.15;-0,00120;0,00028;-0,00357;-0,00396;0,00897;0,00487
2004.01.16;0,00139;0,00451;-0,01444;-0,01624;0,01644;0,00200
2004.01.19;-0,00278;0,00449;-0,00878;-0,00355;0,00545;0,00238
2004.01.20;0,00665;-0,00215;0,01972;0,01884;-0,01979;-0,00771
2004.01.21;0,00899;-0,00178;0,00767;0,00554;-0,00660;0,00641
2004.01.22;0,00918;-0,00639;0,00592;0,00520;-0,00454;-0,00401
2004.01.23;-0,01881;0,00582;-0,00866;-0,01122;0,00768;0,01312
2004.01.26;0,00396;-0,00375;-0,00701;-0,00758;0,01090;0,00061
2004.01.27;0,00229;-0,00679;0,00641;0,01186;-0,01202;-0,00474
2004.01.28;0,00539;0,00472;-0,00635;-0,01555;0,01433;0,01519
2004.01.29;0,00889;-0,00208;0,00109;-0,00257;0,00095;0,00279
2004.01.30;-0,00244;-0,00180;0,00450;0,00466;-0,00526;-0,00475
2004.02.02;-0,00627;-0,00189;-0,00202;-0,00281;0,00676;0,00947
2004.02.03;0,01015;-0,00047;0,00891;0,00816;-0,01012;-0,00060
2004.02.04;0,00486;-0,00019;-0,00310;0,00040;0,00176;-0,00150
2004.02.05;0,00179;0,00180;0,00218;0,00255;-0,00184;0,00314
2004.02.06;-0,00269;-0,00180;0,00613;0,01013;-0,01071;-0,01271
2004.02.09;-0,00189;0,00350;0,00658;-0,00047;0,00040;0,00544
2004.02.10;-0,00198;-0,00227;0,00408;-0,00071;0,00170;0,00218
2004.02.11;-0,01279;-0,00228;0,01340;0,01137;-0,00673;-0,01240
2004.02.12;-0,00100;-0,00038;0,00026;-0,00094;0,00065;0,00334
2004.02.13;-0,00091;-0,00095;-0,00408;-0,00705;0,00721;0,00182
2004.02.16;-0,00174;0,00237;0,00185;0,00291;-0,00380;-0,00334
2004.02.17;-0,00303;0,00152;0,00886;0,00725;-0,00707;-0,00510
2004.02.18;0,00797;0,00689;-0,00684;-0,01039;0,01015;0,00965
2004.02.19;-0,00320;0,00535;0,00347;0,00251;-0,00251;0,00385
2004.02.20;-0,00092;0,01890;-0,01978;-0,01700;0,01988;0,00601
2004.02.23;0,01011;-0,00598;0,00343;0,00239;-0,00366;-0,00067
2004.02.24;0,00353;-0,00092;0,01150;0,00840;-0,01017;-0,00488
2004.02.25;-0,00308;0,00709;-0,00941;-0,01437;0,01327;0,00525
2004.02.26;0,00009;0,00467;-0,00482;-0,00393;0,00570;0,00590
2004.02.27;0,00045;-0,00210;0,00332;0,00369;-0,00380;-0,00657
2004.03.01;-0,00764;-0,00312;-0,00086;-0,00369;0,00553;0,00172
2004.03.02;-0,00164;0,01132;-0,01603;-0,01979;0,02261;0,00492
2004.03.03;0,00928;-0,00036;-0,00579;-0,00107;-0,00293;-0,00246
2004.03.04;-0,01120;0,01030;-0,00252;0,00132;-0,00132;-0,00509
2004.03.05;-0,00174;0,00672;0,01222;0,01310;-0,01066;-0,00889
2004.03.08;0,00284;-0,00636;0,00396;0,00469;-0,00502;-0,00303
2004.03.09;-0,00128;0,00153;-0,01448;-0,00865;0,00752;0,00530
2004.03.10;0,00293;-0,00513;-0,01250;-0,00709;0,00498;-0,00023
2004.03.11;0,00465;-0,00054;0,00376;0,00969;-0,01644;-0,00545
2004.03.12;-0,00538;-0,00163;-0,00336;-0,01033;0,01294;0,01237
2004.03.15;0,00538;-0,00308;0,00043;0,00392;-0,00704;-0,00030
2004.03.16;0,00064;-0,01461;0,00460;-0,00090;0,00345;0,00000
2004.03.17;-0,00455;-0,00415;0,00198;-0,00278;-0,00039;0,00449
2004.03.18;-0,00055;-0,01367;0,01019;0,01316;-0,01672;-0,00945
2004.03.19;-0,00100;-0,00122;-0,00066;-0,00973;0,01005;0,00414
2004.03.22;0,00091;0,00094;0,00723;0,00625;-0,01029;0,00098
2004.03.23;0,00055;0,00000;0,00248;-0,00007;-0,00016;-0,00105
2004.03.24;0,00528;-0,00338;-0,01458;-0,01683;0,01587;0,00472
2004.03.25;0,00172;-0,00254;-0,00952;-0,00017;0,00258;-0,00615
2004.03.26;0,00082;0,00047;0,00535;-0,00082;0,00296;-0,00891
2004.03.29;0,01385;-0,00680;0,00105;0,00322;-0,00008;-0,00708
2004.03.30;-0,00179;0,00360;0,00438;0,00156;-0,00203;-0,00245
2004.03.31;-0,00637;-0,01552;0,00861;0,01045;-0,01178;0,00291
2004.04.01;0,00602;-0,00452;0,00709;0,00422;-0,00245;-0,00176
2004.04.02;-0,00314;0,00835;-0,01542;-0,01928;0,02255;0,00519
2004.04.05;-0,00117;0,00458;-0,00236;-0,00961;0,00986;0,00008
2004.04.06;0,00224;0,00636;0,01074;0,00978;-0,01405;-0,00236
2004.04.07;0,00537;-0,00512;-0,00179;0,00288;-0,00679;-0,00023
2004.04.08;-0,00143;0,01134;-0,00496;-0,00735;0,00422;0,01160
2004.04.09;-0,00924;-0,00019;0,00147;0,00075;-0,00062;0,00309
2004.04.12;0,01265;-0,00992;0,00224;-0,00107;0,00078;-0,00211
2004.04.13;-0,00073;0,01386;-0,01082;-0,01125;0,01301;0,00571
2004.04.14;0,00648;0,01717;-0,01569;0,00075;-0,00062;0,00679
2004.04.15;-0,00568;-0,00424;0,00090;0,00334;-0,00370;-0,00037
2004.04.16;0,00187;-0,00380;0,00273;0,00133;0,00085;0,00126
2004.04.19;-0,00240;0,00546;0,00600;0,00034;-0,00294;0,00007
2004.04.20;0,00799;0,00525;-0,01214;-0,01332;0,01689;0,00777
2004.04.21;-0,00398;0,00357;-0,00889;-0,00322;0,00198;0,00250
2004.04.22;0,00425;0,00027;0,00326;0,00970;-0,00740;-0,00383
2004.04.23;0,00062;-0,00201;-0,00117;-0,00631;0,00588;0,00376
2004.04.26;-0,00611;-0,00487;0,00719;0,00101;-0,00496;-0,00576
2004.04.27;0,00071;0,00816;0,00329;0,00564;-0,00752;0,00022
2004.04.28;0,00989;0,00455;-0,01172;-0,00724;0,00622;0,01680
2004.04.29;0,00307;-0,00082;0,00135;0,00983;-0,01062;-0,00218
2004.04.30;-0,00527;0,00399;0,00293;0,00192;0,00131;-0,00058
2004.05.03;0,00833;-0,00190;-0,00406;-0,00392;0,00563;0,00124
2004.05.04;-0,00631;-0,00555;0,01363;0,01406;-0,01572;-0,00087
2004.05.05;0,00018;-0,00669;-0,00262;0,00444;-0,00446;0,00102
2004.05.06;0,00290;0,00842;0,00201;-0,00676;0,00734;0,00298
2004.05.07;0,01418;0,02315;-0,00301;-0,01645;0,01092;0,00493
2004.05.10;0,00560;0,01256;-0,00672;-0,00287;0,00031;0,00569
2004.05.11;-0,00672;-0,00697;-0,00955;0,00304;-0,00324;-0,00353
2004.05.12;0,00259;0,00027;0,00673;0,00194;-0,00116;0,00036
2004.05.13;0,00267;0,01424;-0,00673;-0,00852;0,00816;0,00460
2004.05.14;-0,00830;-0,00420;-0,00097;0,00658;-0,00554;-0,00424
2004.05.17;-0,00330;0,00280;0,00713;0,01196;-0,01680;0,00589
2004.05.18;0,00348;-0,00298;-0,00249;-0,00668;0,00633;-0,00359
2004.05.19;-0,00026;-0,01093;0,00862;0,00492;-0,00359;-0,01055
2004.05.20;0,00225;-0,00106;-0,00370;-0,00392;0,00499;-0,00568
2004.05.21;0,00035;-0,00347;0,00791;0,00592;-0,00484;0,00197
2004.05.24;-0,00817;0,00692;0,00116;-0,00241;0,00055;-0,00036
2004.05.25;-0,00218;-0,01165;0,01155;0,00846;-0,00541;0,00015
2004.05.26;0,00070;0,00045;0,00132;0,00082;-0,00110;-0,00036
2004.05.27;-0,00438;-0,00709;0,01189;0,01353;-0,02163;-0,00983
2004.05.28;0,00026;-0,00995;-0,00202;-0,00473;0,00601;0,00397
2004.05.31;0,00272;-0,00410;-0,00016;-0,00156;0,00112;0,00015
2004.06.01;0,00332;0,00818;0,00435;0,00376;-0,00544;0,00300
2004.06.02;-0,00105;-0,00518;-0,00344;-0,00213;0,00296;-0,00440
2004.06.03;-0,00254;0,01185;0,00288;0,00017;0,00000;0,00103
2004.06.04;-0,00298;0,00090;-0,00037;0,00441;-0,00860;-0,00789
2004.06.07;-0,00546;-0,01485;0,00125;0,00349;-0,00250;-0,00452
2004.06.08;-0,00141;-0,00082;-0,00094;-0,00463;0,00154;0,00223
2004.06.09;0,00397;0,00782;-0,00622;-0,01795;0,01396;0,00857
2004.06.10;0,00000;-0,01020;0,00758;0,00547;-0,00840;-0,00051
2004.06.11;-0,00062;0,00784;-0,01323;-0,00779;0,01174;0,00411
2004.06.14;0,00702;0,00778;-0,00198;0,00390;-0,00358;0,00948
2004.06.15;-0,00606;-0,01434;0,01063;0,00859;-0,00527;-0,00612
2004.06.16;-0,00229;0,00620;-0,00459;-0,01316;0,01510;0,00350
2004.06.17;-0,00159;-0,00464;0,00503;0,00225;-0,01031;-0,00022
2004.06.18;-0,00062;-0,00788;0,00266;0,00919;-0,00889;-0,00716
2004.06.21;-0,00221;-0,00037;-0,00336;-0,00157;0,00137;0,00007
2004.06.22;0,00115;0,00468;-0,00609;-0,00034;0,00241;-0,00448
2004.06.23;0,00080;-0,00902;-0,00275;-0,00297;0,00416;0,00147
2004.06.24;-0,00124;-0,00947;0,00368;0,00725;-0,00729;-0,01012
2004.06.25;0,00221;0,00382;0,00131;0,00238;0,00217;0,01898
2004.06.28;0,01264;0,00362;0,00214;-0,00132;0,00152;-0,01794
2004.06.29;0,00166;0,00185;-0,01154;-0,00732;0,01233;-0,00134
2004.06.30;-0,00122;0,00627;0,00617;0,00708;-0,01113;-0,00941
2004.07.01;0,00348;-0,00368;0,00005;-0,00180;-0,00112;-0,00128
2004.07.02;-0,00733;-0,00194;0,00509;0,01218;-0,01273;-0,00671
2004.07.05;-0,00026;0,00690;0,00077;-0,00090;0,00138;0,00151
2004.07.06;0,00280;0,00366;0,00523;-0,00122;0,00138;0,00143
2004.07.07;0,00209;-0,00817;0,00741;0,00698;-0,00812;-0,00415
2004.07.08;0,00287;0,00304;-0,00189;0,00193;-0,00180;-0,00250
2004.07.09;-0,00287;-0,00617;0,00594;0,00194;-0,00155;-0,00030
2004.07.12;-0,00009;0,00120;0,00009;-0,00088;0,00188;0,00083
